Epoch,Mean,Std,Min,Max,Validity,Uniqueness,Novelty,Diversity,Time
1,0.759,0.137,0.000,0.942,0.09265,1.00000,0.99892,0.88403,0.3
2,0.763,0.129,0.242,0.942,0.08834,0.99660,0.99772,0.88399,0.3
3,0.758,0.128,0.273,0.941,0.09525,0.99369,0.99788,0.88827,0.3
4,0.765,0.131,0.000,0.942,0.10266,0.99610,0.99608,0.88022,0.4
5,0.754,0.138,0.000,0.945,0.10036,1.00000,0.99301,0.88378,0.4
6,0.763,0.136,0.000,0.942,0.10687,0.99531,0.99529,0.88205,0.4
7,0.759,0.132,0.000,0.944,0.10327,0.99612,0.99318,0.88383,0.4
8,0.764,0.137,0.000,0.944,0.10827,0.99352,0.99628,0.87912,0.4
9,0.767,0.128,0.310,0.946,0.10577,0.99527,0.99239,0.88081,0.4
10,0.765,0.132,0.000,0.947,0.10958,0.99543,0.99725,0.88136,0.5
11,0.758,0.136,0.000,0.937,0.11338,0.99205,0.99555,0.88079,0.5
12,0.758,0.134,0.000,0.947,0.11488,0.99564,0.99562,0.88304,0.5
13,0.766,0.131,0.000,0.942,0.11849,0.99577,0.99406,0.87956,0.5
14,0.762,0.123,0.219,0.939,0.12200,0.99261,0.99256,0.88000,0.5
15,0.763,0.128,0.000,0.943,0.12250,0.99264,0.99094,0.87809,0.6
16,0.760,0.132,0.000,0.941,0.12280,0.99429,0.99590,0.88086,0.6
17,0.764,0.125,0.000,0.945,0.12460,0.99518,0.99111,0.88278,0.6
18,0.764,0.132,0.000,0.944,0.12470,0.99277,0.99676,0.88210,0.6
19,0.761,0.130,0.000,0.938,0.12580,0.99363,0.99279,0.87961,0.6
20,0.763,0.127,0.000,0.939,0.13001,0.99153,0.99456,0.88005,0.6
21,0.764,0.130,0.000,0.942,0.13762,0.99563,0.99561,0.88017,0.7
22,0.766,0.129,0.000,0.945,0.14093,0.98863,0.99209,0.88006,0.7
23,0.767,0.124,0.000,0.941,0.13974,0.99498,0.99568,0.87807,0.7
24,0.772,0.122,0.000,0.938,0.13411,0.99627,0.99700,0.87582,0.7
